Id,SalePrice
1461,128959.49172585631
1462,122920.7402435754
1463,175704.82598101138
1464,200050.8326375506
1465,182075.4698640562
1466,172318.3339753356
1467,191064.62164199425
1468,165488.55901671154
1469,193158.99133191595
1470,116214.02546461586
1471,197517.3413640538
1472,110496.86930550812
1473,104627.9586038865
1474,160048.61859496558
1475,121950.25886407275
1476,346510.34571537573
1477,247172.18604453202
1478,268659.6426124278
1479,258557.80249898377
1480,480282.13818432065
1481,297738.11268559017
1482,199447.03903569243
1483,167917.0335373979
1484,161980.87331170522
1485,184049.47599013482
1486,197557.61015411702
1487,314256.1794824577
1488,244381.74024741084
1489,184648.6391922324
1490,224171.38267120943
1491,190714.89131708434
1492,96982.00803374172
1493,210802.3018774433
1494,287432.0009488494
1495,285191.59453853854
1496,216516.07612405418
1497,166723.89459543288
1498,150726.29289540995
1499,156209.54319408353
1500,144994.90430563185
1501,153092.73886561475
1502,147212.16633151387
1503,299097.61377914634
1504,236840.31410658866
1505,219194.39164995734
1506,191403.8597797338
1507,256890.3316273871
1508,194506.05085758242
1509,157827.2566915363
1510,136401.36847710705
1511,142441.6524551684
1512,173597.81526881308
1513,142033.66356531033
1514,159520.61473327034
1515,200709.88171709244
1516,153270.5203611008
1517,166744.52047699573
1518,134265.77513054822
1519,217613.48012550524
1520,122512.45217043244
1521,122515.64286514437
1522,178665.20415802643
1523,99016.10938953208
1524,113643.38044583779
1525,118923.28259326563
1526,105704.43307412365
1527,99693.75709335171
1528,150561.42329534216
1529,138051.25210715443
1530,218293.49297121615
1531,109960.97631240616
1532,107665.60135025808
1533,150931.4827579271
1534,127051.70663287217
1535,156245.29866499765
1536,112500.54669259324
1537,72812.86583080022
1538,170432.55489189146
1539,183898.15849387128
1540,94789.62951969162
1541,141845.60516119396
1542,141621.81167008597
1543,185697.28371906132
1544,92467.63962510125
1545,123174.67038044431
1546,135711.7593644362
1547,139412.9758079571
1548,138285.05681792836
1549,120309.48961417055
1550,126816.00983878461
1551,123457.75111783169
1552,135736.23519571315
1553,140872.3817723251
1554,123317.03025569736
1555,160388.01251500435
1556,90697.88542309222
1557,97366.4349327272
1558,101610.80237505658
1559,78048.4886902866
1560,127459.17227079348
1561,117926.20895572145
1562,130869.43147794885
1563,113964.8289755473
1564,165018.6730749071
1565,150015.55373235402
1566,252665.92883971691
1567,80778.81841562595
1568,210714.24590211717
1569,115683.97212734478
1570,142576.05567983427
1571,118206.00874942819
1572,143482.4250577803
1573,254609.80316798514
1574,114167.93922303757
1575,228467.54814358006
1576,258164.2366436595
1577,180114.85645183086
1578,132962.34356192133
1579,136819.18587523702
1580,201152.7544435934
1581,155783.9065160728
1582,125995.59714149394
1583,333838.27598423144
1584,227943.99115992122
1585,139710.54854522375
1586,80689.0788082702
1587,105633.65938397059
1588,146423.67211373203
1589,104361.3040211924
1590,141790.19183526427
1591,87354.25750998645
1592,118500.25818539709
1593,127969.54141908482
1594,123893.74138117462
1595,93045.12064178885
1596,209794.76445814894
1597,164448.03996959754
1598,189587.79605352925
1599,184933.92953291998
1600,175229.51072664745
1601,69167.80114454805
1602,115445.3254150682
1603,72121.3173729396
1604,246743.46998618904
1605,259079.05654122864
1606,178260.7316812527
1607,188518.56111551472
1608,210686.52612357016
1609,188784.03503518208
1610,146716.42030333765
1611,141275.377328456
1612,164914.96252050655
1613,172724.6786644295
1614,132034.72288329725
1615,99376.90070496252
1616,82746.70845843856
1617,103544.0053534602
1618,126467.86400476578
1619,147329.55073014658
1620,166752.43107606555
1621,139473.57789142
1622,140353.98570793093
1623,284515.88469864754
1624,206746.58084668696
1625,118573.13960233614
1626,177071.86388467136
1627,192234.338853656
1628,280925.6686830701
1629,176911.0718738711
1630,339985.4466371576
1631,196597.59653105988
1632,216974.20221517063
1633,175666.70502243497
1634,185410.63908834526
1635,176161.2474514788
1636,156618.19908947276
1637,190828.7632258016
1638,204436.98432991534
1639,191765.92723289595
1640,265907.8103173309
1641,183496.33818981398
1642,221090.79652223818
